축제명,개최년도,전체_방문자수,일평균_방문자수,시작일,종료일,기간일수,주말일수,숙박일수,여행유형,연도,1일_평균지출액(원),1인당_평균지출액(원),예상_총지출액(원),평균기온(°C),강수량(mm),일조시간(시간),교통_접근성_지수,지역_인구수(천명),지역_1인당_GRDP(백만원),프로그램_개수,예산(원),예산대비_효율성,소비액_예산비율,축제카테고리,홍보강도지수,예산대비_효율성(1천명기준)
강진청자축제,2019,161701,17966,20190223,20190303,9,2,4,1,2019,8313.0,8313.0,1344317433,24.4,51.3,7.7,93.3,379.0,25.6,28,70000000,0.0023100142857142,19.2,일반/기타,0.31,2.31
강진청자축제,2020,97177,9717,20200223,20200303,10,1,5,1,2020,7787.0,7787.0,756804758,6.6,32.2,7.2,76.7,279.0,36.2,24,50000000,0.00194354,15.14,일반/기타,0.18,1.94
강진청자축제,2021,90660,10073,20210223,20210303,9,2,6,1,2021,11400.0,151631.0,13746920856,25.8,66.9,5.7,51.4,283.0,51.5,29,50000000,0.0018132,274.94,일반/기타,0.17,1.81
강진청자축제,2022,99600,11066,20220223,20220303,9,2,4,1,2022,10103.0,10103.0,1006298640,15.2,20.2,8.2,83.1,354.0,30.3,27,60000000,0.00166,16.77,일반/기타,0.19,1.66
강진청자축제,2023,76135,8459,20230223,20230303,9,2,2,1,2023,12210.0,69598.0,5298912251,3.7,12.0,1.8,69.7,159.0,35.2,39,40000000,0.001903375,132.47,일반/기타,0.14,1.9
강진청자축제,2024,56429,5642,20240223,20240303,10,0,2,1,2024,18708.0,18708.0,1055724518,25.1,3.6,8.4,67.9,539.0,29.6,19,30000000,0.0018809666666666,35.19,일반/기타,0.1,1.88
갯것한상축제,2017,101759,14537,20170718,20170724,7,2,4,1,2017,12178.0,69598.0,609434651,18.3,16.5,6.1,67.4,294.0,32.8,21,30000000,0.0033919666666666,20.31,일반/기타,0.19,3.39
갯것한상축제,2018,193501,27643,20180418,20180424,7,2,4,1,2018,12178.0,69598.0,1620764376,18.3,16.5,6.1,67.4,294.0,32.8,21,60000000,0.0032250166666666,27.01,일반/기타,0.38,3.23
갯것한상축제,2019,320178,80044,20190418,20190421,4,2,4,1,2019,12178.0,69598.0,1846786704,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.002910709090909,16.79,일반/기타,0.63,2.91
갯것한상축제,2020,357009,89252,20200515,20200518,4,2,4,1,2020,12178.0,69598.0,2556541449,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.002975075,21.3,일반/기타,0.71,2.98
갯것한상축제,2021,481758,80293,20210414,20210419,6,2,4,1,2021,12178.0,69598.0,4015452930,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0034411285714285,28.68,일반/기타,0.96,3.44
갯것한상축제,2022,178623,44655,20220513,20220516,4,2,4,1,2022,12178.0,69598.0,1157655663,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.00357246,23.15,일반/기타,0.35,3.57
갯것한상축제,2023,313046,52174,20230912,20230917,6,2,4,1,2023,12178.0,69598.0,2135912858,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0034782888888888,23.73,일반/기타,0.62,3.48
갯것한상축제,2024,209575,69858,20240918,20240920,3,2,4,1,2024,12178.0,69598.0,1971681600,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.0026196875,24.65,일반/기타,0.41,2.62
거북선축제,2017,163133,40783,20170504,20170507,4,2,4,1,2017,12178.0,69598.0,1454983227,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.00326266,29.1,일반/기타,0.31,3.26
거북선축제,2018,178222,44555,20180504,20180507,4,2,4,1,2018,12178.0,69598.0,1644097950,18.3,16.5,6.1,67.4,294.0,32.8,21,60000000,0.0029703666666666,27.4,일반/기타,0.35,2.97
거북선축제,2019,498872,124718,20190504,20190507,4,2,4,1,2019,12178.0,69598.0,2889466624,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0045352,26.27,일반/기타,1.0,4.54
거북선축제,2020,218947,54736,20200504,20200507,4,2,4,1,2020,12178.0,69598.0,1342801951,18.3,16.5,6.1,67.4,294.0,32.8,21,70000000,0.0031278142857142,19.18,일반/기타,0.43,3.13
거북선축제,2021,111138,27784,20210504,20210507,4,2,4,1,2021,12178.0,69598.0,773520480,18.3,16.5,6.1,67.4,294.0,32.8,21,20000000,0.0055569,38.68,일반/기타,0.21,5.56
거북선축제,2022,348289,87072,20220504,20220507,4,2,4,1,2022,12178.0,69598.0,2076847307,18.3,16.5,6.1,67.4,294.0,32.8,21,100000000,0.00348289,20.77,일반/기타,0.69,3.48
거북선축제,2023,140108,35027,20230504,20230507,4,2,4,1,2023,12178.0,69598.0,1292216084,18.3,16.5,6.1,67.4,294.0,32.8,21,40000000,0.0035027,32.31,일반/기타,0.27,3.5
거북선축제,2024,305342,76335,20240504,20240507,4,2,4,1,2024,12178.0,69598.0,2453728312,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.003816775,30.67,일반/기타,0.6,3.82
겨울숭어축제,2017,111302,55651,20170120,20170121,2,2,4,1,2017,12178.0,69598.0,578436494,18.3,16.5,6.1,67.4,294.0,32.8,21,30000000,0.0037100666666666,19.28,일반/기타,0.21,3.71
겨울숭어축제,2018,445266,222633,20180120,20180121,2,2,4,1,2018,12178.0,69598.0,3132446310,18.3,16.5,6.1,67.4,294.0,32.8,21,100000000,0.00445266,31.32,일반/기타,0.89,4.45
겨울숭어축제,2019,151356,75678,20190120,20190121,2,2,4,1,2019,12178.0,69598.0,926298720,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.00302712,18.53,일반/기타,0.29,3.03
겨울숭어축제,2020,381173,190586,20200120,20200121,2,2,4,1,2020,12178.0,69598.0,3663834876,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0042352555555555,40.71,일반/기타,0.76,4.24
겨울숭어축제,2021,146197,73098,20210120,20210121,2,2,4,1,2021,12178.0,69598.0,1448812270,18.3,16.5,6.1,67.4,294.0,32.8,21,40000000,0.003654925,36.22,일반/기타,0.28,3.65
겨울숭어축제,2022,426579,213289,20220120,20220121,2,2,4,1,2022,12178.0,69598.0,3719342301,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.003554825,30.99,일반/기타,0.85,3.55
겨울숭어축제,2023,184291,92145,20230120,20230121,2,2,4,1,2023,12178.0,69598.0,1613651996,18.3,16.5,6.1,67.4,294.0,32.8,21,70000000,0.0026327285714285,23.05,일반/기타,0.36,2.63
겨울숭어축제,2024,332050,166025,20240120,20240121,2,2,4,1,2024,12178.0,69598.0,2309407750,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.004150625,28.87,일반/기타,0.66,4.15
고비산산벚꽃축제,2017,432486,144162,20170417,20170419,3,2,4,1,2017,12178.0,69598.0,3888049140,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0039316909090909,35.35,자연/계절,0.86,3.93
고비산산벚꽃축제,2018,456601,65228,20180417,20180423,7,2,4,1,2018,12178.0,69598.0,4215340432,18.3,16.5,6.1,67.4,294.0,32.8,21,130000000,0.0035123153846153,32.43,자연/계절,0.91,3.51
고비산산벚꽃축제,2019,141786,20255,20190317,20190323,7,2,4,1,2019,12178.0,69598.0,1175973084,18.3,16.5,6.1,67.4,294.0,32.8,21,40000000,0.00354465,29.4,자연/계절,0.27,3.54
고비산산벚꽃축제,2020,437054,87410,20200314,20200318,5,2,4,1,2020,12178.0,69598.0,3350893018,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0031218142857142,23.93,자연/계절,0.87,3.12
고비산산벚꽃축제,2021,234055,58513,20210419,20210422,4,2,4,1,2021,12178.0,69598.0,2171562290,18.3,16.5,6.1,67.4,294.0,32.8,21,70000000,0.0033436428571428,31.02,자연/계절,0.46,3.34
고비산산벚꽃축제,2022,368784,61464,20220311,20220316,6,2,4,1,2022,12178.0,69598.0,2183201280,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.0046098,27.29,자연/계절,0.73,4.61
고비산산벚꽃축제,2023,354444,88611,20230517,20230520,4,2,4,1,2023,12178.0,69598.0,2173096164,18.3,16.5,6.1,67.4,294.0,32.8,21,100000000,0.00354444,21.73,자연/계절,0.7,3.54
고비산산벚꽃축제,2024,225341,45068,20240318,20240322,5,2,4,1,2024,12178.0,69598.0,2220510214,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.00450682,44.41,자연/계절,0.44,4.51
곡성기차마을축제,2017,143858,23976,20171013,20171018,6,1,5,1,2017,11810.0,134637.0,19368667089,23.5,27.6,7.5,63.4,491.0,27.2,39,80000000,0.001798225,242.11,문화/역사,0.28,1.8
곡성기차마을축제,2018,120803,30200,20180319,20180322,4,2,3,1,2018,14694.0,14694.0,1775175924,19.5,24.5,4.3,67.3,235.0,42.8,35,70000000,0.0017257571428571,25.36,문화/역사,0.23,1.73
곡성기차마을축제,2019,77892,15578,20190713,20190717,5,2,4,1,2019,12718.0,12718.0,990700558,8.3,19.6,7.5,66.8,320.0,25.8,8,60000000,0.0012982,16.51,문화/역사,0.14,1.3
곡성기차마을축제,2020,80934,11562,20200518,20200524,7,2,6,1,2020,11214.0,11214.0,907666716,18.3,35.2,5.5,78.5,117.0,34.3,21,60000000,0.0013489,15.13,문화/역사,0.15,1.35
곡성기차마을축제,2021,33730,5621,20210418,20210423,6,2,5,1,2021,12013.0,12013.0,405205236,14.5,9.4,6.1,76.4,505.0,42.3,35,20000000,0.0016865,20.26,문화/역사,0.05,1.69
곡성기차마을축제,2022,31220,7805,20220517,20220520,4,1,3,1,2022,13559.0,13559.0,423333834,14.0,17.7,4.8,46.7,163.0,24.1,35,20000000,0.001561,21.17,문화/역사,0.05,1.56
곡성기차마을축제,2023,65531,13106,20231017,20231021,5,1,4,1,2023,13143.0,124863.0,4172634375,16.4,17.7,7.9,86.1,50.0,34.3,33,40000000,0.001638275,104.32,문화/역사,0.12,1.64
곡성기차마을축제,2024,79701,15940,20240320,20240324,5,1,4,1,2024,13143.0,124863.0,3936130576,16.4,17.7,7.9,86.1,50.0,34.3,33,50000000,0.00159402,78.72,문화/역사,0.14,1.59
광주김치축제,2017,97211,19442,20170918,20170922,5,2,4,1,2017,10912.0,10912.0,1060824758,19.6,23.6,7.7,68.4,222.0,35.2,20,40000000,0.002430275,26.52,음식/미식,0.18,2.43
광주김치축제,2018,82072,11724,20180417,20180423,7,2,6,1,2018,13226.0,13226.0,7705700054,18.5,4.5,4.7,81.2,243.0,29.6,28,30000000,0.0027357333333333,256.86,음식/미식,0.15,2.74
광주김치축제,2019,111007,15858,20190711,20190717,7,2,6,1,2019,13226.0,13226.0,1468200783,18.5,4.5,4.7,81.2,243.0,29.6,28,50000000,0.00222014,29.36,음식/미식,0.21,2.22
광주김치축제,2020,101242,33747,20200519,20200521,3,0,2,1,2020,12521.0,71371.0,7225823775,26.2,28.2,8.5,64.1,50.0,20.0,10,50000000,0.00202484,144.52,음식/미식,0.19,2.02
광주김치축제,2021,113565,22713,20210410,20210414,5,2,4,1,2021,11687.0,11687.0,1327279581,20.2,1.5,6.2,50.9,340.0,38.0,19,50000000,0.0022713,26.55,음식/미식,0.21,2.27
광주김치축제,2022,139359,19908,20221012,20221018,7,2,6,1,2022,10552.0,10552.0,1470557975,11.8,16.9,8.2,68.2,168.0,31.3,13,60000000,0.00232265,24.51,음식/미식,0.27,2.32
광주김치축제,2023,216644,43328,20230313,20230317,5,1,4,1,2023,16629.0,157983.0,34226155709,17.2,35.5,10.5,46.2,298.0,46.2,36,70000000,0.0030949142857142,488.95,음식/미식,0.42,3.09
광주김치축제,2024,169717,33943,20240420,20240424,5,1,4,1,2024,13505.0,128300.0,21774843845,15.7,4.2,7.3,62.8,298.0,33.0,14,60000000,0.0028286166666666,362.91,음식/미식,0.33,2.83
군동풍동봄꽃축제,2017,359127,10882,20170404,20170506,33,2,4,1,2017,12178.0,69598.0,2829202506,18.3,16.5,6.1,67.4,294.0,32.8,21,210000000,0.0017101285714285,13.47,자연/계절,0.71,1.71
군동풍동봄꽃축제,2018,195257,5916,20180404,20180506,33,2,4,1,2018,12178.0,69598.0,1377538135,18.3,16.5,6.1,67.4,294.0,32.8,21,100000000,0.00195257,13.78,자연/계절,0.38,1.95
군동풍동봄꽃축제,2019,318803,9660,20190404,20190506,33,2,4,1,2019,12178.0,69598.0,2908439769,18.3,16.5,6.1,67.4,294.0,32.8,21,170000000,0.0018753117647058,17.11,자연/계절,0.63,1.88
군동풍동봄꽃축제,2020,247820,7509,20200404,20200506,33,2,4,1,2020,12178.0,69598.0,2384276220,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.0020651666666666,19.87,자연/계절,0.49,2.07
군동풍동봄꽃축제,2021,498342,15101,20210404,20210506,33,2,4,1,2021,12178.0,69598.0,3311980932,18.3,16.5,6.1,67.4,294.0,32.8,21,260000000,0.0019167,12.74,자연/계절,1.0,1.92
군동풍동봄꽃축제,2022,429211,13006,20220404,20220506,33,2,4,1,2022,12178.0,69598.0,3581765795,18.3,16.5,6.1,67.4,294.0,32.8,21,240000000,0.0017883791666666,14.92,자연/계절,0.86,1.79
군동풍동봄꽃축제,2023,266926,8088,20230404,20230506,33,2,4,1,2023,12178.0,69598.0,2557151080,18.3,16.5,6.1,67.4,294.0,32.8,21,150000000,0.0017795066666666,17.05,자연/계절,0.53,1.78
군동풍동봄꽃축제,2024,347736,10537,20240404,20240506,33,2,4,1,2024,12178.0,69598.0,1782147000,18.3,16.5,6.1,67.4,294.0,32.8,21,190000000,0.0018301894736842,9.38,자연/계절,0.69,1.83
금곡사벚꽃삼십리길축제,2017,318958,106319,20170416,20170418,3,2,4,1,2017,12178.0,69598.0,2408451858,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0035439777777777,26.76,자연/계절,0.63,3.54
금곡사벚꽃삼십리길축제,2018,100846,20169,20180515,20180519,5,2,4,1,2018,12178.0,69598.0,619295286,18.3,16.5,6.1,67.4,294.0,32.8,21,20000000,0.0050423,30.96,자연/계절,0.19,5.04
금곡사벚꽃삼십리길축제,2019,276659,92219,20190320,20190322,3,2,4,1,2019,12178.0,69598.0,2670865986,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.0034582375,33.39,자연/계절,0.55,3.46
금곡사벚꽃삼십리길축제,2020,341983,48854,20200512,20200518,7,2,4,1,2020,12178.0,69598.0,2365496411,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0031089363636363,21.5,자연/계절,0.68,3.11
금곡사벚꽃삼십리길축제,2021,467436,93487,20210312,20210316,5,2,4,1,2021,12178.0,69598.0,4087260384,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.0038953,34.06,자연/계절,0.93,3.9
금곡사벚꽃삼십리길축제,2022,182180,45545,20220520,20220523,4,2,4,1,2022,12178.0,69598.0,1315157420,18.3,16.5,6.1,67.4,294.0,32.8,21,70000000,0.0026025714285714,18.79,자연/계절,0.35,2.6
금곡사벚꽃삼십리길축제,2023,108512,15501,20230510,20230516,7,2,4,1,2023,12178.0,69598.0,800384512,18.3,16.5,6.1,67.4,294.0,32.8,21,40000000,0.0027128,20.01,자연/계절,0.2,2.71
금곡사벚꽃삼십리길축제,2024,193070,38614,20240412,20240416,5,2,4,1,2024,12178.0,69598.0,1675268390,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.0038614,33.51,자연/계절,0.38,3.86
길동무꽃길축제,2017,442579,73763,20170411,20170416,6,2,4,1,2017,12178.0,69598.0,2604134836,18.3,16.5,6.1,67.4,294.0,32.8,21,150000000,0.0029505266666666,17.36,자연/계절,0.88,2.95
길동무꽃길축제,2018,439273,87854,20180418,20180422,5,2,4,1,2018,12178.0,69598.0,4094463633,18.3,16.5,6.1,67.4,294.0,32.8,21,170000000,0.0025839588235294,24.09,자연/계절,0.88,2.58
길동무꽃길축제,2019,286626,40946,20190317,20190323,7,2,4,1,2019,12178.0,69598.0,1947910296,18.3,16.5,6.1,67.4,294.0,32.8,21,60000000,0.0047771,32.47,자연/계절,0.57,4.78
길동무꽃길축제,2020,408744,81748,20200512,20200516,5,2,4,1,2020,12178.0,69598.0,2825647272,18.3,16.5,6.1,67.4,294.0,32.8,21,130000000,0.0031441846153846,21.74,자연/계절,0.81,3.14
길동무꽃길축제,2021,107657,21531,20210516,20210520,5,2,4,1,2021,12178.0,69598.0,832942209,18.3,16.5,6.1,67.4,294.0,32.8,21,40000000,0.002691425,20.82,자연/계절,0.2,2.69
길동무꽃길축제,2022,259903,51980,20220311,20220315,5,2,4,1,2022,12178.0,69598.0,2357060307,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.0032487875,29.46,자연/계절,0.51,3.25
길동무꽃길축제,2023,422648,140882,20230317,20230319,3,2,4,1,2023,12178.0,69598.0,4089119400,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0038422545454545,37.17,자연/계절,0.84,3.84
길동무꽃길축제,2024,342615,68523,20240410,20240414,5,2,4,1,2024,12178.0,69598.0,2631968430,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0038068333333333,29.24,자연/계절,0.68,3.81
나주배축제,2017,202302,28900,20170518,20170524,7,2,6,1,2017,10556.0,140402.0,28403706555,22.9,32.9,6.7,70.1,153.0,31.2,37,70000000,0.0028900285714285,405.77,일반/기타,0.39,2.89
나주배축제,2018,77810,19452,20180918,20180921,4,2,3,1,2018,11576.0,87983.0,6845996135,22.0,15.7,6.1,56.8,50.0,21.3,10,40000000,0.00194525,171.15,일반/기타,0.14,1.95
나주배축제,2019,113567,18927,20190317,20190322,6,2,5,1,2019,12200.0,12200.0,1385585540,13.8,11.2,6.6,52.9,104.0,28.3,7,60000000,0.0018927833333333,23.09,일반/기타,0.21,1.89
나주배축제,2020,72376,14475,20200916,20200920,5,0,4,1,2020,16371.0,155526.0,11256385964,10.8,77.6,6.1,87.4,169.0,17.4,8,30000000,0.0024125333333333,375.21,일반/기타,0.13,2.41
나주배축제,2021,38405,9601,20210320,20210323,4,1,3,1,2021,8813.0,66981.0,2572432188,12.2,5.5,9.8,90.7,189.0,21.2,25,10000000,0.0038405,257.24,일반/기타,0.06,3.84
나주배축제,2022,148412,29682,20220414,20220418,5,2,4,1,2022,12219.0,116089.0,17229015509,12.1,19.8,5.0,77.0,236.0,45.1,31,60000000,0.0024735333333333,287.15,일반/기타,0.28,2.47
나주배축제,2023,50126,16708,20231018,20231020,3,2,2,1,2023,11853.0,67566.0,3386843391,18.0,8.0,4.3,92.9,210.0,33.7,5,20000000,0.0025063,169.34,일반/기타,0.08,2.51
나주배축제,2024,81881,20470,20240517,20240520,4,2,3,1,2024,20109.0,152831.0,12514004239,15.5,5.5,7.2,73.2,244.0,23.8,7,40000000,0.002047025,312.85,일반/기타,0.15,2.05
나주축제,2017,216891,43378,20171009,20171013,5,2,4,1,2017,12178.0,69598.0,1360774134,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0024099,15.12,일반/기타,0.42,2.41
나주축제,2018,322500,64500,20181009,20181013,5,2,4,1,2018,12178.0,69598.0,1703122500,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.0026875,14.19,일반/기타,0.64,2.69
나주축제,2019,494274,98854,20191009,20191013,5,2,4,1,2019,12178.0,69598.0,4363450872,18.3,16.5,6.1,67.4,294.0,32.8,21,190000000,0.0026014421052631,22.97,일반/기타,0.99,2.6
나주축제,2020,240272,48054,20201009,20201013,5,2,4,1,2020,12178.0,69598.0,1496654288,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0021842909090909,13.61,일반/기타,0.47,2.18
나주축제,2021,348500,69700,20211009,20211013,5,2,4,1,2021,12178.0,69598.0,2174291500,18.3,16.5,6.1,67.4,294.0,32.8,21,160000000,0.002178125,13.59,일반/기타,0.69,2.18
나주축제,2022,226945,45389,20221009,20221013,5,2,4,1,2022,12178.0,69598.0,2012548260,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.0028368125,25.16,일반/기타,0.44,2.84
나주축제,2023,418647,83729,20231009,20231013,5,2,4,1,2023,12178.0,69598.0,3453419103,18.3,16.5,6.1,67.4,294.0,32.8,21,170000000,0.0024626294117647,20.31,일반/기타,0.83,2.46
나주축제,2024,385055,77011,20241009,20241013,5,2,4,1,2024,12178.0,69598.0,3620672165,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0027503928571428,25.86,일반/기타,0.77,2.75
낙안읍성민속문화축제,2017,354079,118026,20171003,20171005,3,2,4,1,2017,12178.0,69598.0,2413402464,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.0029506583333333,20.11,문화/역사,0.7,2.95
낙안읍성민속문화축제,2018,465890,155296,20181003,20181005,3,2,4,1,2018,12178.0,69598.0,4199532460,18.3,16.5,6.1,67.4,294.0,32.8,21,160000000,0.0029118125,26.25,문화/역사,0.93,2.91
낙안읍성민속문화축제,2019,182074,60691,20191003,20191005,3,2,4,1,2019,12178.0,69598.0,1166912266,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.00364148,23.34,문화/역사,0.35,3.64
낙안읍성민속문화축제,2020,205864,68621,20201003,20201005,3,2,4,1,2020,12178.0,69598.0,1922975624,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0022873777777777,21.37,문화/역사,0.4,2.29
낙안읍성민속문화축제,2021,105801,35267,20211003,20211005,3,2,4,1,2021,12178.0,69598.0,723784641,18.3,16.5,6.1,67.4,294.0,32.8,21,30000000,0.0035267,24.13,문화/역사,0.2,3.53
낙안읍성민속문화축제,2022,348710,116236,20221003,20221005,3,2,4,1,2022,12178.0,69598.0,3184071010,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0024907857142857,22.74,문화/역사,0.69,2.49
낙안읍성민속문화축제,2023,177575,59191,20231003,20231005,3,2,4,1,2023,12178.0,69598.0,1094927450,18.3,16.5,6.1,67.4,294.0,32.8,21,70000000,0.0025367857142857,15.64,문화/역사,0.34,2.54
낙안읍성민속문화축제,2024,242038,80679,20241003,20241005,3,2,4,1,2024,12178.0,69598.0,2114443968,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0022003454545454,19.22,문화/역사,0.48,2.2
녹동바다불꽃축제,2017,189818,47454,20170523,20170526,4,2,4,1,2017,12178.0,69598.0,1384342674,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.002372725,17.3,자연/계절,0.37,2.37
녹동바다불꽃축제,2018,254249,63562,20180523,20180526,4,2,4,1,2018,12178.0,69598.0,1500069100,18.3,16.5,6.1,67.4,294.0,32.8,21,110000000,0.0023113545454545,13.64,자연/계절,0.5,2.31
녹동바다불꽃축제,2019,421497,105374,20190523,20190526,4,2,4,1,2019,12178.0,69598.0,3112755345,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0030106928571428,22.23,자연/계절,0.84,3.01
녹동바다불꽃축제,2020,403568,100892,20200523,20200526,4,2,4,1,2020,12178.0,69598.0,3871024256,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.0033630666666666,32.26,자연/계절,0.8,3.36
녹동바다불꽃축제,2021,384564,96141,20210523,20210526,4,2,4,1,2021,12178.0,69598.0,3567984792,18.3,16.5,6.1,67.4,294.0,32.8,21,160000000,0.002403525,22.3,자연/계절,0.77,2.4
녹동바다불꽃축제,2022,204131,51032,20220523,20220526,4,2,4,1,2022,12178.0,69598.0,1983949189,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0022681222222222,22.04,자연/계절,0.4,2.27
녹동바다불꽃축제,2023,172930,43232,20230523,20230526,4,2,4,1,2023,12178.0,69598.0,1522475720,18.3,16.5,6.1,67.4,294.0,32.8,21,60000000,0.0028821666666666,25.37,자연/계절,0.33,2.88
녹동바다불꽃축제,2024,479504,119876,20240523,20240526,4,2,4,1,2024,12178.0,69598.0,2405192064,18.3,16.5,6.1,67.4,294.0,32.8,21,170000000,0.0028206117647058,14.15,자연/계절,0.96,2.82
다향대축제,2017,465464,93092,20170502,20170506,5,2,4,1,2017,12178.0,69598.0,2958023720,18.3,16.5,6.1,67.4,294.0,32.8,21,160000000,0.00290915,18.49,일반/기타,0.93,2.91
다향대축제,2018,489159,97831,20180502,20180506,5,2,4,1,2018,12178.0,69598.0,3139422462,18.3,16.5,6.1,67.4,294.0,32.8,21,180000000,0.00271755,17.44,일반/기타,0.98,2.72
다향대축제,2019,133742,26748,20190502,20190506,5,2,4,1,2019,12178.0,69598.0,1199933224,18.3,16.5,6.1,67.4,294.0,32.8,21,60000000,0.0022290333333333,20.0,일반/기타,0.25,2.23
다향대축제,2020,468676,93735,20200502,20200506,5,2,4,1,2020,12178.0,69598.0,3145284636,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0033476857142857,22.47,일반/기타,0.94,3.35
다향대축제,2021,145648,29129,20210502,20210506,5,2,4,1,2021,12178.0,69598.0,1181350928,18.3,16.5,6.1,67.4,294.0,32.8,21,80000000,0.0018206,14.77,일반/기타,0.28,1.82
